,x,y,z
3474,-326.2355651855469,-171.57289123535156,33.85449981689453
3475,-326.39764404296875,-172.0625457763672,33.890830993652344
3476,-326.7221374511719,-173.04466247558594,33.963985443115234
3477,-326.8851928710937,-173.53858947753906,34.000953674316406
3478,-327.2120361328125,-174.53013610839844,34.07541275024414
3479,-327.3760986328125,-175.02853393554688,34.1129150390625
3480,-327.70574951171875,-176.03118896484375,34.18842697143555
3481,-327.87109375,-176.53472900390625,34.22646713256836
3482,-328.2028503417969,-177.546630859375,34.303165435791016
3483,-328.3694763183594,-178.0555419921875,34.341800689697266
3484,-328.7035522460937,-179.07723999023438,34.41936111450195
3485,-328.8724365234375,-179.594482421875,34.45855712890625
3486,-329.2073974609375,-180.6224670410156,34.53650665283203
3487,-329.3756103515625,-181.13975524902344,34.5758056640625
3488,-329.713623046875,-182.1815643310547,34.654998779296875
3489,-329.883056640625,-182.70529174804688,34.694786071777344
3490,-330.22344970703125,-183.7602081298828,34.77486038208008
3491,-330.39288330078125,-184.28732299804688,34.81486129760742
3492,-330.73223876953125,-185.3474578857422,34.89542770385742
3493,-330.90264892578125,-185.8815155029297,34.936038970947266
3494,-331.24395751953125,-186.95872497558597,35.01797103881836
3495,-331.41265869140625,-187.4940490722656,35.0587158203125
3496,-331.7523193359375,-188.579345703125,35.141357421875
3497,-331.9207763671875,-189.1216278076172,35.182674407958984
3498,-332.2579650878906,-190.21652221679688,35.26607894897461
3499,-332.4260559082031,-190.76742553710935,35.30802536010742
3500,-332.7602233886719,-191.8738250732422,35.39219665527344
3501,-332.9262084960937,-192.42930603027344,35.43436050415039
3502,-333.2561340332031,-193.5468597412109,35.5191535949707
3503,-333.41998291015625,-194.10899353027344,35.56178665161133
3504,-333.7446594238281,-195.23789978027344,35.6472282409668
3505,-333.905517578125,-195.80528259277344,35.690059661865234
3506,-334.2242431640625,-196.94699096679688,35.77604675292969
3507,-334.3816223144531,-197.52023315429688,35.81917190551758
3508,-334.6927185058594,-198.6734313964844,35.90580749511719
3509,-334.84625244140625,-199.25314331054688,35.94929885864258
3510,-335.1484680175781,-200.4169769287109,36.03667831420898
3511,-335.298095703125,-201.0050201416016,36.08079147338867
3512,-335.5917053222656,-202.1843414306641,36.16908645629883
3513,-335.73468017578125,-202.7717437744141,36.21297073364258
3514,-336.0170288085937,-203.95887756347656,36.30142211914063
3515,-336.1554870605469,-204.55551147460935,36.34575653076172
3516,-336.4272766113281,-205.7563018798828,36.43468475341797
3517,-336.5602111816406,-206.359130859375,36.47915649414063
3518,-336.8200378417969,-207.5707855224609,36.568321228027344
3519,-336.9470520019531,-208.1805725097656,36.613094329833984
3520,-337.19403076171875,-209.40316772460935,36.70271682739258
3521,-337.313720703125,-210.0145263671875,36.74744415283203
3522,-337.5474548339844,-211.24899291992188,36.83753204345703
3523,-337.6607360839844,-211.8682556152344,36.88257598876953
3524,-337.8803405761719,-213.11167907714844,36.97256088256836
3525,-337.9873352050781,-213.74118041992188,37.01791000366211
3526,-338.1902770996094,-214.9890289306641,37.10734558105469
3527,-338.2873229980469,-215.6141662597656,37.151954650878906
3528,-338.4732360839844,-216.8721618652344,37.24150466918945
3529,-338.5615234375,-217.5020446777344,37.28655624389648
3530,-338.7294616699219,-218.76812744140625,37.37774658203125
3531,-338.8089599609375,-219.40386962890625,37.42396926879883
3532,-338.9586486816406,-220.6792755126953,37.517704010009766
3533,-339.0287780761719,-221.31922912597656,37.56532287597656
3534,-339.1593017578125,-222.6018524169922,37.66204071044922
3535,-339.2195129394531,-223.2452545166016,37.71120071411133
